Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Nathan Collins,ie IRL,DF,23,38,38,"3,420",38.0,2,3,5,2,0,0,5,0
Bryan Mbeumo,cm CMR,FW,24,38,38,"3,414",37.9,20,7,27,15,5,6,3,0
Mark Flekken,nl NED,GK,31,37,37,"3,275",36.4,0,2,2,0,0,0,1,0
Keane Lewis-Potter,eng ENG,"DF,FW",23,38,36,"3,093",34.4,1,3,4,1,0,0,7,0
Yoane Wissa,cd COD,FW,27,35,34,"2,919",32.4,19,4,23,19,0,0,5,0
Mikkel Damsgaard,dk DEN,"MF,FW",24,38,34,"2,911",32.3,2,10,12,2,0,0,2,0
Christian Nørgaard,dk DEN,MF,30,34,34,"2,819",31.3,5,4,9,5,0,0,8,1
Sepp van den Berg,nl NED,DF,22,31,29,"2,586",28.7,0,0,0,0,0,0,3,0
Vitaly Janelt,de GER,MF,26,32,27,"2,254",25.0,1,3,4,1,0,0,3,0
Kevin Schade,de GER,FW,22,38,26,"2,293",25.5,11,2,13,11,0,0,3,0
Ethan Pinnock,jm JAM,DF,31,22,21,"1,913",21.3,2,0,2,2,0,0,2,0
Kristoffer Ajer,no NOR,DF,26,24,17,"1,438",16.0,0,0,0,0,0,0,5,0
Yehor Yarmoliuk,ua UKR,MF,20,31,15,"1,450",16.1,0,0,0,0,0,0,6,0
Mads Roerslev,dk DEN,DF,25,19,11,"1,101",12.2,0,2,2,0,0,0,2,0
Mathias Jensen,dk DEN,MF,28,24,8,862,9.6,0,2,2,0,0,0,2,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Michael Kayode,it ITA,DF,20,12,6,528,5.9,0,1,1,0,0,0,2,0
Fabio Carvalho,pt POR,"FW,MF",21,19,3,455,5.1,2,1,3,2,0,0,1,0
Ben Mee,eng ENG,DF,34,7,2,183,2.0,0,0,0,0,0,0,2,0
Thiago,br BRA,"FW,MF",23,8,1,175,1.9,0,0,0,0,0,0,0,0
Hákon Valdimarsson,is ISL,GK,22,2,1,145,1.6,0,0,0,0,0,0,0,0
Edmond-Paris Maghoma,eng ENG,"MF,FW",23,8,0,119,1.3,0,0,0,0,0,0,0,0
Rico Henry,eng ENG,DF,27,5,0,99,1.1,0,0,0,0,0,0,0,0
Yunus Emre Konak,tr TUR,"FW,MF",18,10,0,42,0.5,0,0,0,0,0,0,0,0
Kim Jisoo,kr KOR,DF,19,3,0,30,0.3,0,0,0,0,0,0,0,0
Frank Onyeka,ng NGA,MF,26,2,0,25,0.3,0,0,0,0,0,0,0,0
Gustavo Nunes,br BRA,"FW,MF",18,3,0,12,0.1,0,0,0,0,0,0,0,0
Jayden Meghoma,eng ENG,DF,18,1,0,5,0.1,0,0,0,0,0,0,0,0
Ryan Trevitt,eng ENG,MF,21,1,0,4,0.0,0,0,0,0,0,0,0,0
Benjamin Arthur,eng ENG,DF,18,0,0,,,,,,,,,,
Julian Eyestone,us USA,GK,18,0,0,,,,,,,,,,
Benjamin Fredrick,ng NGA,DF,19,0,0,,,,,,,,,,
Aaron Hickey,sct SCO,"DF,MF",22,0,0,,,,,,,,,,
Iwan Morgan,wls WAL,FW,18,0,0,,,,,,,,,,
Myles Peart-Harris,eng ENG,MF,21,0,0,,,,,,,,,,
Tony Yogane,eng ENG,MF,18,0,0,,,,,,,,,,
