Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Max Kilman,eng ENG,DF,27,38,38,"3,348",37.2,0,1,1,0,0,0,5,0
Aaron Wan-Bissaka,cd COD,DF,26,36,35,"3,154",35.0,2,5,7,2,0,0,1,0
Jarrod Bowen,eng ENG,"FW,MF",27,34,34,"2,973",33.0,13,8,21,12,1,1,1,0
Mohammed Kudus,gh GHA,"FW,MF",23,32,31,"2,590",28.8,5,3,8,5,0,0,2,1
Tomáš Souček,cz CZE,MF,29,35,30,"2,567",28.5,9,1,10,9,0,0,8,0
Lucas Paquetá,br BRA,"MF,FW",26,33,27,"2,380",26.4,4,0,4,2,2,2,10,0
Emerson Palmieri,it ITA,DF,29,31,26,"2,113",23.5,2,1,3,2,0,0,5,0
Alphonse Areola,fr FRA,GK,31,26,25,"2,260",25.1,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,gr GRE,DF,26,33,21,"2,045",22.7,0,0,0,0,0,0,6,1
Jean-Clair Todibo,fr FRA,DF,24,27,20,"1,825",20.3,0,0,0,0,0,0,3,0
Edson Álvarez,mx MEX,MF,26,28,20,"1,772",19.7,0,1,1,0,0,0,9,1
Guido Rodríguez,ar ARG,MF,30,23,16,"1,149",12.8,0,1,1,0,0,0,6,0
Carlos Soler,es ESP,"MF,FW",27,31,14,"1,409",15.7,1,1,2,1,0,0,6,0
Łukasz Fabiański,pl POL,GK,39,14,13,"1,160",12.9,0,0,0,0,0,0,2,0
James Ward-Prowse,eng ENG,MF,29,15,12,"1,039",11.5,1,1,2,1,0,0,2,0
Vladimír Coufal,cz CZE,DF,31,22,11,"1,067",11.9,0,0,0,0,0,0,5,0
Michail Antonio,jm JAM,FW,34,14,11,836,9.3,1,1,2,1,0,0,1,0
Aaron Cresswell,eng ENG,DF,34,18,10,824,9.2,0,0,0,0,0,0,3,0
Crysencio Summerville,nl NED,"FW,MF",22,19,7,786,8.7,1,1,2,1,0,0,2,0
Oliver Scarles,eng ENG,"DF,FW",18,15,7,665,7.4,0,0,0,0,0,0,1,0
Niclas Füllkrug,de GER,FW,31,18,6,790,8.8,3,2,5,3,0,0,2,0
Danny Ings,eng ENG,"FW,MF",32,15,1,284,3.2,1,2,3,1,0,0,0,0
Andy Irving,sct SCO,MF,24,10,1,166,1.8,0,0,0,0,0,0,2,0
Evan Ferguson,ie IRL,FW,19,8,1,156,1.7,0,0,0,0,0,0,0,0
Luis Guilherme,br BRA,"MF,FW",18,12,1,150,1.7,0,0,0,0,0,0,0,0
Lewis Orford,eng ENG,MF,18,2,0,49,0.5,0,0,0,0,0,0,0,0
Kaelan Casey,eng ENG,DF,19,1,0,1,0.0,0,0,0,0,0,0,0,0
Wes Foderingham,eng ENG,GK,33,0,0,,,,,,,,,,
Ezra Mayers,bb BRB,DF,17,0,0,,,,,,,,,,
